"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"AA","SFO","ORD","JFK","13","57","31","57"
"B6","SFO","FLL","JFK","11","36","39","36"
"B6","SFO","FLL","JFK","11","138","132","138"
"AA","SFO","ORD","JFK","-4","57","31","57"
"DL","SFO","ATL","JFK","1","20","32","20"
"VX","SFO","LAX","JFK","-4","72","68","72"
"VX","SFO","LAX","JFK","-8","2","1","2"
"VX","SFO","LAX","JFK","-3","2","1","2"
"B6","SFO","BOS","JFK","28","4","0","4"
"B6","SFO","FLL","JFK","1","-21","-7","-21"
"DL","SFO","ATL","JFK","-2","-25","-2","-25"
"AA","SFO","ORD","JFK","-2","28","-1","28"
"DL","SFO","ATL","JFK","0","-22","-5","-22"
"AA","SFO","MIA","JFK","6","54","50","54"
"VX","SFO","LAX","JFK","-5","-15","-1","-15"
"DL","SFO","ATL","JFK","-3","-23","-1","-23"
"B6","SFO","BOS","JFK","-2","-13","-2","-13"
"AA","SFO","ORD","JFK","4","14","25","14"
"B6","SFO","LGB","JFK","202","10","6","10"
"VX","SFO","LAS","JFK","88","100","102","100"
"VX","SFO","LAX","JFK","27","-7","-2","-7"
"DL","SFO","ATL","JFK","5","-30","-2","-30"
"AA","SFO","ORD","JFK","3","2","-2","2"
"DL","SFO","ATL","JFK","-3","2","26","2"
"AA","SFO","MIA","JFK","-1","11","18","11"
"VX","SFO","LAX","JFK","0","-17","4","-17"
"DL","SFO","ATL","JFK","0","-20","9","-20"
"VX","SFO","LAX","JFK","-2","-17","4","-17"
"B6","SFO","BOS","JFK","1","-5","-2","-5"
"B6","SFO","BOS","JFK","1","-7","-6","-7"
"DL","SFO","ATL","JFK","-1","-20","9","-20"
"AA","SFO","ORD","JFK","-7","-1","-7","-1"
"AA","SFO","ORD","JFK","-5","-1","-7","-1"
"DL","SFO","ATL","JFK","0","-25","-1","-25"
"VX","SFO","LAX","JFK","-4","14","-2","14"
"VX","SFO","LAS","JFK","12","3","-8","3"
"VX","SFO","LAX","JFK","-4","1","-2","1"
"VX","SFO","LAX","JFK","-7","1","-2","1"
"B6","SFO","BOS","JFK","-5","-17","-7","-17"
"B6","SFO","BOS","JFK","-5","-14","-10","-14"
"B6","SFO","FLL","JFK","18","-18","-4","-18"
"DL","SFO","ATL","JFK","16","-17","-3","-17"
"AA","SFO","MIA","JFK","43","97","113","97"
"DL","SFO","ATL","JFK","-3","-28","-2","-28"
"AA","SFO","MIA","JFK","-7","24","21","24"
"VX","SFO","LAX","JFK","-5","-7","-4","-7"
"VX","SFO","LAX","JFK","-2","-7","-4","-7"
"DL","SFO","ATL","JFK","-5","-18","-1","-18"
"AA","SFO","ORD","JFK","5","-11","-7","-11"
"B6","SFO","FLL","JFK","0","-3","-1","-3"
"B6","SFO","FLL","JFK","0","-7","0","-7"
"AA","SFO","ORD","JFK","-2","-11","-7","-11"
"VX","SFO","LAX","JFK","-3","2","-1","2"
"DL","SFO","ATL","JFK","-5","-23","-1","-23"
"VX","SFO","LAS","JFK","-5","-6","-1","-6"
"B6","SFO","BOS","JFK","-5","-9","-3","-9"
"B6","SFO","BOS","JFK","-5","-26","-10","-26"
"B6","SFO","FLL","JFK","27","1","-3","1"
"DL","SFO","ATL","JFK","-2","-17","-1","-17"
"DL","SFO","ATL","JFK","2","-24","-1","-24"
"AA","SFO","MIA","JFK","3","6","1","6"
"DL","SFO","ATL","JFK","-1","-14","-1","-14"
"VX","SFO","LAX","JFK","-6","5","0","5"
"B6","SFO","BOS","JFK","4","-2","10","-2"
"DL","SFO","ATL","JFK","-5","-14","-1","-14"
"AA","SFO","ORD","JFK","1","-11","-2","-11"
"B6","SFO","FLL","JFK","72","-15","0","-15"
"VX","SFO","LAX","JFK","52","21","10","21"
"DL","SFO","ATL","JFK","1","-29","-3","-29"
"VX","SFO","LAX","JFK","11","21","10","21"
"VX","SFO","LAS","JFK","25","50","56","50"
"VX","SFO","LAX","JFK","17","6","3","6"
"VX","SFO","LAX","JFK","17","6","3","6"
"B6","SFO","BOS","JFK","7","-5","-1","-5"
"B6","SFO","FLL","JFK","91","-22","5","-22"
"DL","SFO","ATL","JFK","31","-13","-2","-13"
"DL","SFO","ATL","JFK","31","-17","0","-17"
"AA","SFO","ORD","JFK","1","19","19","19"
"DL","SFO","ATL","JFK","-1","-19","2","-19"
"AA","SFO","MIA","JFK","-10","2","5","2"
"VX","SFO","LAX","JFK","-3","7","-3","7"
"DL","SFO","ATL","JFK","0","-13","0","-13"
"VX","SFO","LAX","JFK","10","7","-3","7"
"B6","SFO","BOS","JFK","5","-13","-6","-13"
"B6","SFO","BOS","JFK","5","1","2","1"
"DL","SFO","ATL","JFK","-1","-13","0","-13"
"AA","SFO","ORD","JFK","0","-18","-9","-18"
"B6","SFO","FLL","JFK","67","-7","5","-7"
"AA","SFO","ORD","JFK","-6","-18","-9","-18"
"VX","SFO","LAX","JFK","68","12","-4","12"
"DL","SFO","ATL","JFK","-4","-22","-1","-22"
"VX","SFO","LAX","JFK","-3","12","-4","12"
"B6","SFO","FLL","JFK","2","18","7","18"
"DL","SFO","ATL","JFK","8","10","4","10"
"DL","SFO","ATL","JFK","6","-5","-3","-5"
"VX","SFO","LAX","JFK","125","-9","3","-9"
"AA","SFO","MIA","JFK","45","37","30","37"
"DL","SFO","ATL","JFK","76","23","30","23"
"B6","SFO","FLL","JFK","2","37","32","37"
"B6","SFO","BOS","JFK","39","99","107","99"
"B6","SFO","BOS","JFK","39","187","201","187"
"DL","SFO","ATL","JFK","0","20","20","20"
"AA","SFO","MIA","JFK","9","100","117","100"
"VX","SFO","LAX","JFK","2","-1","12","-1"
"VX","SFO","LAX","JFK","86","-1","2","-1"
"VX","SFO","LAS","JFK","121","75","59","75"
"B6","SFO","LGB","JFK","45","125","130","125"
"VX","SFO","LAX","JFK","57","140","127","140"
"B6","SFO","BOS","JFK","126","-12","-1","-12"
"B6","SFO","BOS","JFK","126","-8","1","-8"
"AA","SFO","MIA","JFK","40","-5","13","-5"
"AA","SFO","MIA","JFK","40","-12","6","-12"
"DL","SFO","ATL","JFK","14","-14","-2","-14"
"B6","SFO","FLL","JFK","14","-19","-7","-19"
"B6","SFO","FLL","JFK","14","-7","-7","-7"
"DL","SFO","ATL","JFK","1","-14","-2","-14"
"AA","SFO","MIA","JFK","98","-2","-1","-2"
"DL","SFO","ATL","JFK","11","8","27","8"
"AA","SFO","MIA","JFK","-1","-18","-5","-18"
"VX","SFO","LAX","JFK","9","7","11","7"
"AA","SFO","ORD","JFK","-5","276","287","276"
"B6","SFO","BOS","JFK","-5","-3","1","-3"
"DL","SFO","ATL","JFK","1","7","15","7"
"B6","SFO","FLL","JFK","20","-7","-2","-7"
"B6","SFO","FLL","JFK","20","-7","5","-7"
"VX","SFO","LAX","JFK","12","19","-3","19"
"VX","SFO","LAX","JFK","12","31","41","31"
"AA","SFO","MIA","JFK","-3","9","9","9"
"VX","SFO","LAX","JFK","-6","19","-3","19"
"DL","SFO","DTW","JFK","-4","201","217","201"
"VX","SFO","LAX","JFK","18","9","18","9"
"VX","SFO","LAX","JFK","-3","9","18","9"
"VX","SFO","LAS","JFK","9","-17","0","-17"
"B6","SFO","LGB","JFK","6","31","42","31"
"VX","SFO","LAX","JFK","-6","7","12","7"
"VX","SFO","LAX","JFK","-6","9","18","9"
"VX","SFO","LAX","JFK","1","7","12","7"
"AA","SFO","MIA","JFK","130","-14","-1","-14"
"B6","SFO","FLL","JFK","4","1","-6","1"
"B6","SFO","FLL","JFK","4","-4","-4","-4"
"DL","SFO","ATL","JFK","159","-5","12","-5"
"DL","SFO","ATL","JFK","159","106","114","106"
"DL","SFO","ATL","JFK","7","-13","8","-13"
"AA","SFO","MIA","JFK","-2","-8","2","-8"
"DL","SFO","ATL","JFK","16","-5","13","-5"
"VX","SFO","LAX","JFK","-3","16","48","16"
"DL","SFO","ATL","JFK","6","-5","13","-5"
